home_id,date,shift,staff_hours,required_hours,staff_cost
h046,2026-01-01,morning,97.26,103.2,1215.71
h046,2026-01-01,afternoon,85.1,90.3,1063.75
h046,2026-01-01,night,60.79,64.5,759.82
h047,2026-01-01,morning,76.28,79.2,953.52
h047,2026-01-01,afternoon,66.75,69.3,834.33
h047,2026-01-01,night,47.68,49.5,595.95
h048,2026-01-01,morning,91.1,84.0,1138.8
h048,2026-01-01,afternoon,79.72,73.5,996.45
h048,2026-01-01,night,56.94,52.5,711.75
h049,2026-01-01,morning,118.37,115.2,1479.58
h049,2026-01-01,afternoon,103.57,100.8,1294.64
h049,2026-01-01,night,73.98,72.0,924.74
h050,2026-01-01,morning,74.21,86.4,927.67
h050,2026-01-01,afternoon,64.94,75.6,811.71
h050,2026-01-01,night,46.38,54.0,579.8
h001,2026-01-02,morning,157.58,153.6,1969.78
h001,2026-01-02,afternoon,137.88,134.4,1723.56
h001,2026-01-02,night,98.49,96.0,1231.11
h002,2026-01-02,morning,65.13,67.2,814.12
h002,2026-01-02,afternoon,56.99,58.8,712.36
h002,2026-01-02,night,40.71,42.0,508.83
h003,2026-01-02,morning,74.91,79.2,936.39
h003,2026-01-02,afternoon,65.55,69.3,819.34
h003,2026-01-02,night,46.82,49.5,585.24
h004,2026-01-02,morning,85.59,81.6,1069.91
h004,2026-01-02,afternoon,74.89,71.4,936.17
h004,2026-01-02,night,53.5,51.0,668.7
h005,2026-01-02,morning,96.12,88.8,1201.55
h005,2026-01-02,afternoon,84.11,77.7,1051.36
h005,2026-01-02,night,60.08,55.5,750.97
h006,2026-01-02,morning,144.41,134.4,1805.16
h006,2026-01-02,afternoon,126.36,117.6,1579.52
h006,2026-01-02,night,90.26,84.0,1128.23
h007,2026-01-02,morning,78.36,84.0,979.51
h007,2026-01-02,afternoon,68.57,73.5,857.07
h007,2026-01-02,night,48.98,52.5,612.19
h008,2026-01-02,morning,84.26,86.4,1053.28
h008,2026-01-02,afternoon,73.73,75.6,921.62
h008,2026-01-02,night,52.66,54.0,658.3
h009,2026-01-02,morning,108.4,105.6,1354.98
h009,2026-01-02,afternoon,94.85,92.4,1185.61
h009,2026-01-02,night,67.75,66.0,846.86
h010,2026-01-02,morning,87.97,81.6,1099.6
h010,2026-01-02,afternoon,76.97,71.4,962.15
h010,2026-01-02,night,54.98,51.0,687.25
h011,2026-01-02,morning,120.02,124.8,1500.2
h011,2026-01-02,afternoon,105.01,109.2,1312.67
h011,2026-01-02,night,75.01,78.0,937.62
h012,2026-01-02,morning,99.3,100.8,1241.29
h012,2026-01-02,afternoon,86.89,88.2,1086.12
h012,2026-01-02,night,62.06,63.0,775.8
h013,2026-01-02,morning,96.25,105.6,1203.17
h013,2026-01-02,afternoon,84.22,92.4,1052.77
h013,2026-01-02,night,60.16,66.0,751.98
h014,2026-01-02,morning,115.03,127.2,1437.84
h014,2026-01-02,afternoon,100.65,111.3,1258.11
h014,2026-01-02,night,71.89,79.5,898.65
h015,2026-01-02,morning,135.47,127.2,1693.35
h015,2026-01-02,afternoon,118.53,111.3,1481.68
h015,2026-01-02,night,84.67,79.5,1058.35
h016,2026-01-02,morning,194.21,175.2,2427.61
h016,2026-01-02,afternoon,169.93,153.3,2124.16
h016,2026-01-02,night,121.38,109.5,1517.26
h017,2026-01-02,morning,109.76,110.4,1372.05
h017,2026-01-02,afternoon,96.04,96.6,1200.54
h017,2026-01-02,night,68.6,69.0,857.53
h018,2026-01-02,morning,145.19,134.4,1814.87
h018,2026-01-02,afternoon,127.04,117.6,1588.02
h018,2026-01-02,night,90.74,84.0,1134.3
h019,2026-01-02,morning,101.25,98.4,1265.58
h019,2026-01-02,afternoon,88.59,86.1,1107.39
h019,2026-01-02,night,63.28,61.5,790.99
h020,2026-01-02,morning,113.81,120.0,1422.59
h020,2026-01-02,afternoon,99.58,105.0,1244.76
h020,2026-01-02,night,71.13,75.0,889.12
h021,2026-01-02,morning,113.59,110.4,1419.9
h021,2026-01-02,afternoon,99.39,96.6,1242.41
h021,2026-01-02,night,70.99,69.0,887.44
h022,2026-01-02,morning,70.08,62.4,875.97
h022,2026-01-02,afternoon,61.32,54.6,766.48
h022,2026-01-02,night,43.8,39.0,547.48
h023,2026-01-02,morning,57.43,57.6,717.94
h023,2026-01-02,afternoon,50.26,50.4,628.19
h023,2026-01-02,night,35.9,36.0,448.71
h024,2026-01-02,morning,145.82,129.6,1822.78
h024,2026-01-02,afternoon,127.59,113.4,1594.93
h024,2026-01-02,night,91.14,81.0,1139.24
h025,2026-01-02,morning,66.4,84.0,829.94
h025,2026-01-02,afternoon,58.1,73.5,726.2
h025,2026-01-02,night,41.5,52.5,518.71
h026,2026-01-02,morning,117.66,110.4,1470.74
h026,2026-01-02,afternoon,102.95,96.6,1286.9
h026,2026-01-02,night,73.54,69.0,919.21
h027,2026-01-02,morning,130.5,129.6,1631.28
h027,2026-01-02,afternoon,114.19,113.4,1427.37
h027,2026-01-02,night,81.56,81.0,1019.55
h028,2026-01-02,morning,84.33,86.4,1054.17
h028,2026-01-02,afternoon,73.79,75.6,922.4
h028,2026-01-02,night,52.71,54.0,658.85
h029,2026-01-02,morning,58.02,57.6,725.29
h029,2026-01-02,afternoon,50.77,50.4,634.62
h029,2026-01-02,night,36.26,36.0,453.3
h030,2026-01-02,morning,100.92,120.0,1261.49
h030,2026-01-02,afternoon,88.3,105.0,1103.81
h030,2026-01-02,night,63.07,75.0,788.43
h031,2026-01-02,morning,129.68,132.0,1621.0
h031,2026-01-02,afternoon,113.47,115.5,1418.38
h031,2026-01-02,night,81.05,82.5,1013.13
h032,2026-01-02,morning,91.34,88.8,1141.71
h032,2026-01-02,afternoon,79.92,77.7,999.0
h032,2026-01-02,night,57.09,55.5,713.57
h033,2026-01-02,morning,91.25,81.6,1140.6
h033,2026-01-02,afternoon,79.84,71.4,998.02
h033,2026-01-02,night,57.03,51.0,712.87
h034,2026-01-02,morning,119.63,124.8,1495.32
h034,2026-01-02,afternoon,104.67,109.2,1308.4
h034,2026-01-02,night,74.77,78.0,934.57
h035,2026-01-02,morning,143.67,153.6,1795.82
h035,2026-01-02,afternoon,125.71,134.4,1571.34
h035,2026-01-02,night,89.79,96.0,1122.38
h036,2026-01-02,morning,78.32,81.6,979.06
h036,2026-01-02,afternoon,68.53,71.4,856.67
h036,2026-01-02,night,48.95,51.0,611.91
h037,2026-01-02,morning,79.85,74.4,998.11
h037,2026-01-02,afternoon,69.87,65.1,873.34
h037,2026-01-02,night,49.91,46.5,623.82
h038,2026-01-02,morning,64.04,62.4,800.51
h038,2026-01-02,afternoon,56.04,54.6,700.45
h038,2026-01-02,night,40.03,39.0,500.32
h039,2026-01-02,morning,147.09,153.6,1838.63
h039,2026-01-02,afternoon,128.7,134.4,1608.8
h039,2026-01-02,night,91.93,96.0,1149.14
h040,2026-01-02,morning,99.94,96.0,1249.27
h040,2026-01-02,afternoon,87.45,84.0,1093.11
h040,2026-01-02,night,62.46,60.0,780.8
h041,2026-01-02,morning,89.49,88.8,1118.62
h041,2026-01-02,afternoon,78.3,77.7,978.79
h041,2026-01-02,night,55.93,55.5,699.14
h042,2026-01-02,morning,116.37,108.0,1454.61
h042,2026-01-02,afternoon,101.82,94.5,1272.79
h042,2026-01-02,night,72.73,67.5,909.13
h043,2026-01-02,morning,122.32,129.6,1529.01
h043,2026-01-02,afternoon,107.03,113.4,1337.89
h043,2026-01-02,night,76.45,81.0,955.63
h044,2026-01-02,morning,100.49,103.2,1256.19
h044,2026-01-02,afternoon,87.93,90.3,1099.16
h044,2026-01-02,night,62.81,64.5,785.12
h045,2026-01-02,morning,104.61,108.0,1307.65
h045,2026-01-02,afternoon,91.54,94.5,1144.2
h045,2026-01-02,night,65.38,67.5,817.28
h046,2026-01-02,morning,91.12,103.2,1138.97
h046,2026-01-02,afternoon,79.73,90.3,996.59
h046,2026-01-02,night,56.95,64.5,711.85
h047,2026-01-02,morning,81.08,79.2,1013.45
h047,2026-01-02,afternoon,70.94,69.3,886.77
h047,2026-01-02,night,50.67,49.5,633.41
h048,2026-01-02,morning,85.75,84.0,1071.93
h048,2026-01-02,afternoon,75.04,73.5,937.94
h048,2026-01-02,night,53.6,52.5,669.96
h049,2026-01-02,morning,115.25,115.2,1440.59
h049,2026-01-02,afternoon,100.84,100.8,1260.52
h049,2026-01-02,night,72.03,72.0,900.37
h050,2026-01-02,morning,84.78,86.4,1059.73
h050,2026-01-02,afternoon,74.18,75.6,927.27
h050,2026-01-02,night,52.99,54.0,662.33
h001,2026-01-03,morning,136.21,153.6,1702.6
h001,2026-01-03,afternoon,119.18,134.4,1489.77
h001,2026-01-03,night,85.13,96.0,1064.12
h002,2026-01-03,morning,64.94,67.2,811.73
h002,2026-01-03,afternoon,56.82,58.8,710.27
h002,2026-01-03,night,40.59,42.0,507.33
h003,2026-01-03,morning,77.03,79.2,962.86
h003,2026-01-03,afternoon,67.4,69.3,842.5
h003,2026-01-03,night,48.14,49.5,601.79
h004,2026-01-03,morning,76.36,81.6,954.53
h004,2026-01-03,afternoon,66.82,71.4,835.22
h004,2026-01-03,night,47.73,51.0,596.58
h005,2026-01-03,morning,87.65,88.8,1095.68
h005,2026-01-03,afternoon,76.7,77.7,958.72
h005,2026-01-03,night,54.78,55.5,684.8
h006,2026-01-03,morning,138.74,134.4,1734.3
h006,2026-01-03,afternoon,121.4,117.6,1517.52
h006,2026-01-03,night,86.72,84.0,1083.94
h007,2026-01-03,morning,96.68,84.0,1208.44
h007,2026-01-03,afternoon,84.59,73.5,1057.38
h007,2026-01-03,night,60.42,52.5,755.27
h008,2026-01-03,morning,87.61,86.4,1095.08
h008,2026-01-03,afternoon,76.66,75.6,958.2
h008,2026-01-03,night,54.75,54.0,684.43
h009,2026-01-03,morning,107.78,105.6,1347.2
h009,2026-01-03,afternoon,94.3,92.4,1178.8
h009,2026-01-03,night,67.36,66.0,842.0
h010,2026-01-03,morning,81.11,81.6,1013.93
h010,2026-01-03,afternoon,70.97,71.4,887.18
h010,2026-01-03,night,50.7,51.0,633.7
h011,2026-01-03,morning,105.64,124.8,1320.54
h011,2026-01-03,afternoon,92.44,109.2,1155.47
h011,2026-01-03,night,66.03,78.0,825.34
h012,2026-01-03,morning,100.59,100.8,1257.33
h012,2026-01-03,afternoon,88.01,88.2,1100.16
h012,2026-01-03,night,62.87,63.0,785.83
h013,2026-01-03,morning,106.11,105.6,1326.36
h013,2026-01-03,afternoon,92.85,92.4,1160.57
h013,2026-01-03,night,66.32,66.0,828.98
h014,2026-01-03,morning,152.27,127.2,1903.32
h014,2026-01-03,afternoon,133.23,111.3,1665.41
h014,2026-01-03,night,95.17,79.5,1189.58
h015,2026-01-03,morning,125.24,127.2,1565.53
h015,2026-01-03,afternoon,109.59,111.3,1369.84
h015,2026-01-03,night,78.28,79.5,978.46
h016,2026-01-03,morning,179.43,175.2,2242.83
h016,2026-01-03,afternoon,157.0,153.3,1962.48
h016,2026-01-03,night,112.14,109.5,1401.77
h017,2026-01-03,morning,110.09,110.4,1376.17
h017,2026-01-03,afternoon,96.33,96.6,1204.15
h017,2026-01-03,night,68.81,69.0,860.1
h018,2026-01-03,morning,121.83,134.4,1522.93
h018,2026-01-03,afternoon,106.61,117.6,1332.56
h018,2026-01-03,night,76.15,84.0,951.83
h019,2026-01-03,morning,107.4,98.4,1342.45
h019,2026-01-03,afternoon,93.97,86.1,1174.65
h019,2026-01-03,night,67.12,61.5,839.03
h020,2026-01-03,morning,127.22,120.0,1590.23
h020,2026-01-03,afternoon,111.32,105.0,1391.45
h020,2026-01-03,night,79.51,75.0,993.89
h021,2026-01-03,morning,117.39,110.4,1467.33
h021,2026-01-03,afternoon,102.71,96.6,1283.91
h021,2026-01-03,night,73.37,69.0,917.08
h022,2026-01-03,morning,57.86,62.4,723.25
h022,2026-01-03,afternoon,50.63,54.6,632.85
h022,2026-01-03,night,36.16,39.0,452.03
h023,2026-01-03,morning,64.06,57.6,800.8
h023,2026-01-03,afternoon,56.06,50.4,700.7
h023,2026-01-03,night,40.04,36.0,500.5
h024,2026-01-03,morning,115.07,129.6,1438.32
h024,2026-01-03,afternoon,100.68,113.4,1258.53
h024,2026-01-03,night,71.92,81.0,898.95
h025,2026-01-03,morning,87.94,84.0,1099.3
h025,2026-01-03,afternoon,76.95,73.5,961.88
h025,2026-01-03,night,54.96,52.5,687.06
h026,2026-01-03,morning,129.75,110.4,1621.83
h026,2026-01-03,afternoon,113.53,96.6,1419.1
h026,2026-01-03,night,81.09,69.0,1013.64
h027,2026-01-03,morning,119.33,129.6,1491.63
h027,2026-01-03,afternoon,104.41,113.4,1305.17
h027,2026-01-03,night,74.58,81.0,932.27
h028,2026-01-03,morning,82.49,86.4,1031.07
h028,2026-01-03,afternoon,72.18,75.6,902.19
h028,2026-01-03,night,51.55,54.0,644.42
h029,2026-01-03,morning,58.06,57.6,725.74
h029,2026-01-03,afternoon,50.8,50.4,635.02
h029,2026-01-03,night,36.29,36.0,453.59
h030,2026-01-03,morning,115.17,120.0,1439.58
h030,2026-01-03,afternoon,100.77,105.0,1259.64
h030,2026-01-03,night,71.98,75.0,899.74
h031,2026-01-03,morning,115.62,132.0,1445.31
h031,2026-01-03,afternoon,101.17,115.5,1264.65
h031,2026-01-03,night,72.27,82.5,903.32
h032,2026-01-03,morning,89.29,88.8,1116.09
h032,2026-01-03,afternoon,78.13,77.7,976.58
h032,2026-01-03,night,55.8,55.5,697.56
h033,2026-01-03,morning,74.67,81.6,933.32
h033,2026-01-03,afternoon,65.33,71.4,816.65
h033,2026-01-03,night,46.67,51.0,583.32
h034,2026-01-03,morning,129.53,124.8,1619.1
h034,2026-01-03,afternoon,113.34,109.2,1416.72
h034,2026-01-03,night,80.96,78.0,1011.94
h035,2026-01-03,morning,142.3,153.6,1778.78
h035,2026-01-03,afternoon,124.51,134.4,1556.43
h035,2026-01-03,night,88.94,96.0,1111.74
h036,2026-01-03,morning,91.72,81.6,1146.47
h036,2026-01-03,afternoon,80.25,71.4,1003.17
h036,2026-01-03,night,57.32,51.0,716.55
h037,2026-01-03,morning,69.74,74.4,871.73
h037,2026-01-03,afternoon,61.02,65.1,762.76
h037,2026-01-03,night,43.59,46.5,544.83
h038,2026-01-03,morning,60.79,62.4,759.9
h038,2026-01-03,afternoon,53.19,54.6,664.92
h038,2026-01-03,night,38.0,39.0,474.94
h039,2026-01-03,morning,163.6,153.6,2044.96
h039,2026-01-03,afternoon,143.15,134.4,1789.34
h039,2026-01-03,night,102.25,96.0,1278.1
h040,2026-01-03,morning,86.55,96.0,1081.84
h040,2026-01-03,afternoon,75.73,84.0,946.61
h040,2026-01-03,night,54.09,60.0,676.15
h041,2026-01-03,morning,90.42,88.8,1130.2
h041,2026-01-03,afternoon,79.11,77.7,988.92
h041,2026-01-03,night,56.51,55.5,706.37
h042,2026-01-03,morning,119.29,108.0,1491.17
h042,2026-01-03,afternoon,104.38,94.5,1304.77
h042,2026-01-03,night,74.56,67.5,931.98
h043,2026-01-03,morning,112.93,129.6,1411.67
h043,2026-01-03,afternoon,98.82,113.4,1235.21
h043,2026-01-03,night,70.58,81.0,882.29
h044,2026-01-03,morning,104.72,103.2,1309.05
h044,2026-01-03,afternoon,91.63,90.3,1145.42
h044,2026-01-03,night,65.45,64.5,818.16
h045,2026-01-03,morning,110.25,108.0,1378.07
h045,2026-01-03,afternoon,96.46,94.5,1205.81
h045,2026-01-03,night,68.9,67.5,861.29
h046,2026-01-03,morning,109.65,103.2,1370.68
h046,2026-01-03,afternoon,95.95,90.3,1199.35
h046,2026-01-03,night,68.53,64.5,856.68
h047,2026-01-03,morning,71.36,79.2,892.03
h047,2026-01-03,afternoon,62.44,69.3,780.53
h047,2026-01-03,night,44.6,49.5,557.52
h048,2026-01-03,morning,75.13,84.0,939.08
h048,2026-01-03,afternoon,65.74,73.5,821.7
h048,2026-01-03,night,46.95,52.5,586.93
h049,2026-01-03,morning,120.01,115.2,1500.13
h049,2026-01-03,afternoon,105.01,100.8,1312.61
h049,2026-01-03,night,75.01,72.0,937.58
h050,2026-01-03,morning,88.45,86.4,1105.66
h050,2026-01-03,afternoon,77.4,75.6,967.45
h050,2026-01-03,night,55.28,54.0,691.04
h001,2026-01-04,morning,156.68,153.6,1958.48
h001,2026-01-04,afternoon,137.09,134.4,1713.67
h001,2026-01-04,night,97.92,96.0,1224.05
h002,2026-01-04,morning,69.06,67.2,863.28
h002,2026-01-04,afternoon,60.43,58.8,755.37
h002,2026-01-04,night,43.16,42.0,539.55
h003,2026-01-04,morning,74.89,79.2,936.14
h003,2026-01-04,afternoon,65.53,69.3,819.12
h003,2026-01-04,night,46.81,49.5,585.09
h004,2026-01-04,morning,83.12,81.6,1038.95
h004,2026-01-04,afternoon,72.73,71.4,909.08
h004,2026-01-04,night,51.95,51.0,649.34
h005,2026-01-04,morning,90.88,88.8,1136.02
h005,2026-01-04,afternoon,79.52,77.7,994.02
h005,2026-01-04,night,56.8,55.5,710.02
h006,2026-01-04,morning,126.72,134.4,1583.99
h006,2026-01-04,afternoon,110.88,117.6,1385.99
h006,2026-01-04,night,79.2,84.0,989.99
h007,2026-01-04,morning,96.54,84.0,1206.73
h007,2026-01-04,afternoon,84.47,73.5,1055.88
h007,2026-01-04,night,60.34,52.5,754.2
h008,2026-01-04,morning,89.68,86.4,1120.94
h008,2026-01-04,afternoon,78.47,75.6,980.82
h008,2026-01-04,night,56.05,54.0,700.59
h009,2026-01-04,morning,95.54,105.6,1194.2
h009,2026-01-04,afternoon,83.59,92.4,1044.92
h009,2026-01-04,night,59.71,66.0,746.37
h010,2026-01-04,morning,85.89,81.6,1073.57
h010,2026-01-04,afternoon,75.15,71.4,939.38
h010,2026-01-04,night,53.68,51.0,670.98
h011,2026-01-04,morning,115.07,124.8,1438.36
h011,2026-01-04,afternoon,100.69,109.2,1258.56
h011,2026-01-04,night,71.92,78.0,898.97
h012,2026-01-04,morning,107.15,100.8,1339.34
h012,2026-01-04,afternoon,93.75,88.2,1171.92
h012,2026-01-04,night,66.97,63.0,837.09
h013,2026-01-04,morning,115.39,105.6,1442.35
h013,2026-01-04,afternoon,100.96,92.4,1262.05
h013,2026-01-04,night,72.12,66.0,901.47
h014,2026-01-04,morning,118.85,127.2,1485.61
h014,2026-01-04,afternoon,103.99,111.3,1299.91
h014,2026-01-04,night,74.28,79.5,928.51
h015,2026-01-04,morning,137.0,127.2,1712.54
h015,2026-01-04,afternoon,119.88,111.3,1498.47
h015,2026-01-04,night,85.63,79.5,1070.34
h016,2026-01-04,morning,180.99,175.2,2262.32
h016,2026-01-04,afternoon,158.36,153.3,1979.53
h016,2026-01-04,night,113.12,109.5,1413.95
h017,2026-01-04,morning,117.66,110.4,1470.76
h017,2026-01-04,afternoon,102.95,96.6,1286.91
h017,2026-01-04,night,73.54,69.0,919.22
h018,2026-01-04,morning,154.79,134.4,1934.93
h018,2026-01-04,afternoon,135.45,117.6,1693.06
h018,2026-01-04,night,96.75,84.0,1209.33
h019,2026-01-04,morning,96.47,98.4,1205.85
h019,2026-01-04,afternoon,84.41,86.1,1055.12
h019,2026-01-04,night,60.29,61.5,753.66
h020,2026-01-04,morning,112.76,120.0,1409.55
h020,2026-01-04,afternoon,98.67,105.0,1233.36
h020,2026-01-04,night,70.48,75.0,880.97
h021,2026-01-04,morning,102.54,110.4,1281.8
h021,2026-01-04,afternoon,89.73,96.6,1121.57
h021,2026-01-04,night,64.09,69.0,801.12
h022,2026-01-04,morning,58.33,62.4,729.09
h022,2026-01-04,afternoon,51.04,54.6,637.96
h022,2026-01-04,night,36.45,39.0,455.68
h023,2026-01-04,morning,57.24,57.6,715.56
h023,2026-01-04,afternoon,50.09,50.4,626.11
h023,2026-01-04,night,35.78,36.0,447.22
h024,2026-01-04,morning,133.14,129.6,1664.21
h024,2026-01-04,afternoon,116.49,113.4,1456.19
h024,2026-01-04,night,83.21,81.0,1040.13
h025,2026-01-04,morning,85.86,84.0,1073.24
h025,2026-01-04,afternoon,75.13,73.5,939.09
h025,2026-01-04,night,53.66,52.5,670.78
h026,2026-01-04,morning,117.71,110.4,1471.32
h026,2026-01-04,afternoon,102.99,96.6,1287.41
h026,2026-01-04,night,73.57,69.0,919.58
h027,2026-01-04,morning,129.73,129.6,1621.69
h027,2026-01-04,afternoon,113.52,113.4,1418.97
h027,2026-01-04,night,81.08,81.0,1013.55
h028,2026-01-04,morning,96.45,86.4,1205.59
h028,2026-01-04,afternoon,84.39,75.6,1054.89
h028,2026-01-04,night,60.28,54.0,753.49
h029,2026-01-04,morning,56.38,57.6,704.76
h029,2026-01-04,afternoon,49.33,50.4,616.66
h029,2026-01-04,night,35.24,36.0,440.47
h030,2026-01-04,morning,146.11,120.0,1826.42
h030,2026-01-04,afternoon,127.85,105.0,1598.12
